,Homo_sapiens,Macaca_mulatta,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Carlito_syrichta,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mus_musculus,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rattus_norvegicus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sarcophilus_harrisii,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
GPR153,NM_207370.2,XM_015141456.1,XM_011230595.1,XM_012473606.1,XM_597109.9,XM_002750232.3,XM_010998480.1,XM_014113885.1,XM_018060443.1,XM_008049713.1,XM_003471460.3,xm_004426074.2,XM_012049583.1,XM_013504323.1,XM_007980781.1,XM_006876908.1,XM_012722051.1,XM_007654867.2,XM_012523845.1,XM_013031629.1,XM_004705463.2,XM_006885919.1,XM_008151849.1,XM_014737584.1,XM_007532757.2,XM_011284473.1,XM_008567023.1,XM_004024575.1,XM_004863729.2,XM_005334781.1,XM_004657401.1,XM_003413492.2,XM_005544932.2,XM_011737693.1,XM_011981585.1,XM_017653817.1,XM_005079272.2,XM_012791548.1,XM_005353649.2,XM_016214546.1,XM_001377108.2,XM_011250169.1,XM_004768771.2,xm_008826503.1,XM_012498270.1,XM_004596087.1,XM_004639623.1,XM_004411040.1,XM_004272330.1,XM_017346619.1,XM_003793226.2,XM_015099050.1,XM_003822181.2,XM_525167.6,XM_003891031.2,XM_009235692.1,XM_012662545.1,XM_011368487.1,XM_006239486.3,XM_010357401.1,XM_016165357.1,XM_010350388.1,XM_003765205.1,XM_004607220.1,XM_013988761.1,xm_004385168.1,XM_014586604.1,XM_004312488.1
GPR156,NM_153002.2,XM_015129961.1,XM_011219771.1,XM_012463921.1,XM_015471544.1,XM_017965206.1,XM_010981567.1,XM_005639537.1,XM_018043285.1,XM_008068453.1,XM_013151848.1,xm_004436529.2,XM_012068452.1,XM_005386463.2,XM_007985681.1,XM_006864145.1,XM_012734270.1,XM_003501083.3,XM_012520540.1,XM_013019398.1,XM_004709798.1,XM_006884253.1,XM_008146643.1,XM_001502458.2,XM_007532098.1,XM_011285934.1,XM_008578787.1,XM_004036135.1,XM_004835653.1,XM_005327630.2,,XM_003412838.2,XM_005548050.2,XM_011722185.1,XM_011987166.1,XM_017673484.1,XM_005071500.2,XM_012780562.1,XM_005344971.1,XM_016200150.1,XM_007493750.2,NM_153394.2,XM_004772798.2,XM_008842904.2,XM_012500972.1,XM_004577872.2,XM_004633334.1,XM_004403524.1,XM_004278535.1,XM_002716658.3,XM_003795090.2,XM_015092463.1,XM_003825161.2,XM_001164405.4,XM_003893979.3,XM_002813242.2,XM_012640433.1,XM_011373747.1,NM_153295.1,XM_010387091.1,XM_016158798.1,XM_010345933.1,XM_003763620.1,XM_004606695.1,XM_003132650.3,xm_004373651.1,xm_014583173.1,XM_004326776.1
GPR157,NM_024980.4,XM_015146983.1,XM_002918685.2,XM_012473723.1,XM_580530.7,XM_009000381.2,XM_011000797.1,XM_005620601.1,XM_018060392.1,,XM_003471220.3,xm_004426082.2,XM_012049459.1,XM_005404310.2,XM_007980647.1,XM_006873094.1,XM_004679310.2,XM_007633539.1,XM_004470607.1,XM_013031740.1,XM_013005320.1,XM_006885778.1,XM_008151865.1,XM_014737578.1,XM_007534162.2,XM_006934339.1,XM_008567878.1,xm_004024607.1,XM_004863924.1,XM_005334748.2,XM_004657389.1,XM_003413181.1,XM_005544857.2,XM_011737007.1,XM_011994201.1,XM_017662082.1,XM_005079291.2,XM_012791469.1,XM_005353681.1,XM_016214724.1,XM_016433356.1,NM_177366.3,XM_004768766.2,XM_008831936.2,XM_003274323.3,XM_004596127.1,XM_004639724.1,XM_004397562.1,XM_004272557.1,XM_002716142.3,XM_003793335.2,XM_015099046.1,XM_008975739.2,XM_016953592.1,XM_003891071.3,XM_002811537.3,XM_012662611.1,xm_011382612.1,NM_001012107.1,XM_010364186.1,XM_016163616.1,XM_003928045.2,XM_003765511.2,XM_004607234.2,,xm_004385136.1,XM_014586518.1,xm_004322060.1
GPR158,NM_020752.2,XM_001101165.3,XM_011236270.1,XM_012450142.1,NM_001206442.1,XM_002750100.3,XM_010995332.1,XM_014121676.1,XM_005687944.3,XM_008057866.1,XM_003463167.3,xm_004425290.2,XM_012055835.1,XM_005386897.1,XM_008002559.1,XM_006871655.1,XM_012731360.1,XM_007610398.2,XM_012529951.1,XM_013014644.1,XM_004716112.2,XM_006887106.1,XM_008148869.1,XM_001495442.5,XM_007526494.2,XM_011283685.1,XM_008580240.1,xm_004049181.1,XM_004859910.2,XM_005320245.2,XM_004659673.2,XM_003410549.2,XM_005564806.2,XM_011738438.1,XM_012002013.1,xm_017673688.1,XM_005082690.2,XM_012777345.1,XM_005354743.2,XM_016224699.1,XM_007504849.1,NM_001004761.1,XM_013058942.1,XM_008831743.2,XM_003269372.3,XM_004588529.2,XM_004641901.2,XM_004403977.1,XM_004280961.2,XM_002717291.3,XM_003786747.2,XM_004014228.3,XM_003821403.2,XM_521427.6,XM_017962602.1,XM_002820608.3,XM_012654864.1,XM_011371016.1,NM_001170326.1,XM_010368982.1,XM_016124940.1,xm_010341239.1,XM_003771868.1,XM_004605493.2,xm_013980255.1,xm_004380527.2,XM_006139769.1,XM_004317970.1
GPR160,NM_014373.2,NM_001193759.2,XM_002920831.2,XM_012470985.1,XM_005195924.3,XM_002759440.4,XM_010976311.1,XM_003434147.2,XM_018047948.1,XM_008049498.1,XM_013145508.1,xm_004424757.2,xm_012060683.1,XM_005382977.2,XM_007972133.1,XM_006861821.1,XM_004674950.2,XM_007631160.2,XM_012527166.1,XM_013016167.1,XM_004704091.1,,XM_008142279.1,XM_014732744.1,XM_007522959.2,XM_011286107.1,XM_008576149.1,XM_004037992.1,XM_004834577.2,XM_005332492.2,XM_004652358.1,XM_003416245.2,XM_015445515.1,XM_011714546.1,XM_011994332.1,XM_017654624.1,XM_013113081.1,XM_012779270.1,XM_005371673.2,XM_016202985.1,,XM_017319737.1,XM_013058307.1,XM_017797391.1,XM_003256436.2,XM_004591336.2,XM_004633557.1,XM_004393222.2,XM_004270567.2,XM_008266467.2,XM_012808121.1,XM_015092562.1,XM_014344462.1,NM_001251865.1,xm_009201385.2,XM_002814272.3,XM_012640189.1,XM_011380279.1,XM_008760936.2,XM_010380710.1,XM_016127532.1,XM_010335679.1,,XM_004618878.1,XM_013990127.1,xm_004383454.1,XM_014582258.1,xm_004329346.1
GPR161,NM_153832.2,XM_015125119.1,XM_011235930.1,XM_012444408.1,NM_001077066.1,XM_008985077.2,XM_010984463.1,XM_005622553.2,XM_018046461.1,XM_008067595.1,XM_013151228.1,xm_004425074.2,XM_012091083.1,XM_005398216.2,XM_007989622.1,XM_006872624.1,XM_004688456.2,XM_007613995.2,XM_004464190.2,XM_013021770.1,XM_004706845.1,XM_006887404.1,XM_008153118.1,XM_005609634.2,XM_007531808.2,XM_011290866.1,XM_008588225.1,XM_004027849.1,XM_004865215.2,XM_005319841.2,XM_004658813.2,XM_010594984.1,XM_015445106.1,XM_011760419.1,XM_011979925.1,XM_017664122.1,XM_005071380.2,XM_012783883.1,XM_005370105.2,XM_016202369.1,XM_007480728.2,NM_001310430.1,XM_013049308.1,XM_008824920.2,XM_003258827.2,XM_004589159.1,XM_004646047.2,XM_004408308.1,XM_004269725.1,XM_002715219.3,XM_003785728.2,XM_012185776.2,XM_008978274.1,xm_003317805.3,XM_017952190.1,XM_002809829.2,XM_012657742.1,XM_011374193.1,XM_008769710.2,XM_010371778.1,XM_016148595.1,XM_010338702.1,XM_003767386.2,XM_012933879.1,XM_001926833.5,xm_004384083.1,XM_006147049.2,XM_004319221.1
GPR162,NM_019858.1,NM_001266769.1,XM_002922233.2,xm_012472839.1,NM_001076217.1,XM_009003491.2,XM_010990844.1,XM_862385.3,XM_018048556.1,xm_008053627.1,XM_005000657.2,xm_004438702.2,XM_012054365.1,XM_013511324.1,XM_007967411.1,XM_006862638.1,XM_004692896.2,XM_007635009.2,XM_004448506.2,XM_013023633.1,XM_004708127.1,XM_006891263.1,XM_008144857.1,XM_001915670.3,XM_007537042.2,XM_003988331.1,XM_008567685.1,XM_004052590.1,XM_004869447.2,XM_005338325.1,XM_004668668.2,XM_003410650.2,XM_005569960.2,XM_011745642.1,XM_011983005.1,XM_017670744.1,XM_005066006.2,XM_012760425.1,XM_005365208.1,XM_016221744.1,XM_001369986.2,NM_013533.3,XM_004766664.1,XM_008825380.2,XM_003273754.3,XM_004596388.1,XM_004643530.1,XM_004413918.1,XM_004279060.1,XM_002712902.3,XM_012809367.1,XM_015093975.1,XM_008973671.1,XM_016922864.1,XM_009180088.1,XM_002822837.3,XM_012637837.1,xm_011365825.1,NM_001108646.1,XM_010385912.1,xm_016162820.1,XM_010332870.1,XM_003771221.1,XM_004610466.2,XM_003481693.3,xm_004387223.1,XM_006170795.2,XM_004314746.1
GPR17,NM_005291.2,NM_001266107.1,xm_002916353.2,XM_012462325.1,NM_001082470.2,XM_008998567.2,XM_010974624.1,XM_014121399.1,XM_018065846.1,XM_008053741.1,XM_005007726.2,xm_004423934.2,XM_012073727.1,XM_005397596.2,XM_007964599.1,XM_006876203.1,XM_004694881.2,XM_007651420.2,XM_004459310.2,XM_013028864.1,XM_004703860.1,XM_006902799.1,XM_008158134.1,XM_014732368.1,XM_007534707.2,XM_006935193.1,XM_008578347.1,XM_004032520.1,XM_004835965.2,XM_005315869.2,XM_004668174.1,XM_010596409.1,XM_005572855.2,XM_011759500.1,XM_011980488.1,XM_017680561.1,XM_005065306.2,XM_012739941.1,XM_005355861.2,XM_016201707.1,XM_007493993.2,NM_001025381.2,XM_004779684.2,XM_008821995.2,XM_004091623.2,XM_004589319.2,XM_004626318.1,XM_004408915.2,XM_004276865.2,XM_008258432.2,XM_003800336.2,XM_015093310.1,XM_008953617.1,XM_016949693.1,XM_017947986.1,XM_002812370.3,XM_012649948.1,XM_011363662.1,XM_006254604.3,XM_010363437.1,XM_016157062.1,XM_010342207.1,XM_012544643.1,XM_004608122.1,XM_013984125.1,xm_004387035.2,XM_006153689.2,XM_004318692.1
GPR171,NM_013308.3,NM_001194365.1,XM_002916346.2,XM_012437085.1,XM_005201827.3,XM_002759490.3,XM_010986744.1,XM_005634571.2,XM_005675437.3,XM_008057447.1,XM_013159707.1,xm_004419248.2,XM_012085877.1,XM_005393029.2,XM_008008695.1,XM_006867978.1,XM_004674925.2,XM_016975821.1,XM_004465642.1,XM_013029916.1,XM_004708540.1,xm_006900061.1,XM_008159164.1,NM_001308940.1,XM_007533938.1,,XM_008579722.1,XM_004037856.1,XM_013071258.1,XM_005339916.1,XM_012948154.1,,XM_005546115.2,XM_011710924.1,XM_011972748.1,XM_017645584.1,XM_013118993.1,XM_012782882.1,XM_005344027.2,XM_016216704.1,XM_007502023.2,NM_173398.3,XM_004755562.2,XM_008844843.2,XM_003256299.3,XM_012931173.1,XM_012517518.1,XM_004405006.1,XM_012536159.1,XM_017346845.1,XM_012812965.1,XM_004003253.3,XM_008951866.1,XM_003950216.3,XM_017955790.1,XM_002814187.1,XM_012642934.1,XM_011374244.1,XM_017591117.1,XM_010370581.1,XM_016156460.1,,XM_003766055.2,,,xm_004379188.1,XM_006149736.2,XM_004327832.1
GPR173,NM_018969.5,XM_015127438.1,XM_011234266.1,XM_012477286.1,XM_005228229.3,XM_002762900.3,XM_011000074.1,XM_850360.4,XM_018044563.1,XM_008051855.1,XM_003462335.3,xm_014779769.1,XM_012039321.1,XM_005401475.2,XM_007991755.1,XM_006875241.1,XM_004694994.2,XM_003514744.1,XM_012521940.1,XM_013035923.1,XM_004713133.1,XM_006898894.1,XM_008158311.1,XM_014728929.1,XM_007530853.2,XM_004000535.3,XM_008574734.1,XM_004064202.1,XM_004873492.1,XM_005339759.1,XM_004661023.1,XM_003420363.1,XM_005593626.2,XM_011761730.1,XM_011970349.1,XM_017643931.1,XM_005085903.2,XM_012746633.1,XM_013350611.1,XM_016219659.1,XM_007507714.2,XM_011247871.2,XM_004781207.2,XM_008849706.2,XM_003276302.2,XM_004598323.1,XM_004647884.1,XM_004406962.1,XM_004286400.1,XM_008272645.2,XM_003803225.2,XM_012106683.2,XM_003805895.3,XM_016943908.1,XM_003917749.3,XM_002831681.3,XM_012660634.1,XM_011383455.1,NM_022255.1,XM_010364532.1,XM_016132509.1,XM_003943719.2,XM_003775147.2,XM_004606468.1,XM_013986175.1,xm_004389114.1,XM_006167421.2,XM_004326331.1
GPR174,NM_032553.1,XM_015127725.1,XM_011237168.1,XM_012455740.1,XM_005199923.3,XM_003735772.3,XM_010981286.1,XM_005641526.2,XM_018044025.1,XM_008069858.1,XM_003470970.2,xm_014796503.1,XM_012082887.1,XM_005412643.2,XM_007992153.1,XM_006872509.1,XM_004685614.1,XM_007648156.2,XM_004482214.1,XM_013028933.1,XM_004717636.1,,XM_008155333.1,XM_005614300.2,,XM_004000674.2,XM_008579068.1,XM_004064443.1,XM_004867509.1,XM_005328822.1,XM_004666969.1,XM_010592702.1,XM_005594013.2,XM_011712233.1,XM_011967197.1,,XM_005085935.2,XM_012755358.1,XM_005366735.1,XM_016213221.1,,XM_017318457.1,XM_013048176.1,XM_008837651.1,XM_003269002.2,XM_004592784.1,XM_004648570.1,XM_004417600.2,XM_004280447.2,XM_002720136.3,XM_003800448.2,XM_012106969.2,XM_003824418.2,XM_003317533.3,XM_003917925.3,XM_003780512.2,XM_012664111.1,XM_011382467.1,XM_008773340.2,XM_010380506.1,XM_016125244.1,XM_003936837.2,XM_003774902.2,,xm_013986263.1,xm_004378889.2,XM_006155857.2,XM_004321157.1
GPR176,NM_007223.2,NM_001266154.1,XM_011228174.1,XM_012462520.1,NM_001192616.1,XM_002753555.3,XM_010989335.1,XM_544612.4,XM_018054470.1,XM_008053717.1,XM_003475679.3,xm_014780561.1,XM_012034740.1,XM_005381210.2,XM_008017079.1,XM_006831782.1,XM_004687927.2,XM_007628936.2,XM_004481378.2,XM_013010008.1,XM_004712697.2,XM_006883028.1,XM_008142987.1,XM_001503593.5,XM_007528918.2,XM_003987283.3,XM_008566112.1,XM_004055958.1,XM_004861530.1,XM_005316390.2,XM_004660770.1,XM_003418649.2,XM_005559148.2,XM_011759613.1,XM_011989322.1,XM_017667745.1,XM_005064750.2,XM_012766386.1,XM_005364239.1,XM_016220379.1,XM_001380920.3,NM_201367.3,XM_004751075.2,XM_008842306.2,XM_003266714.3,XM_004578181.1,XM_012513993.1,XM_004400443.1,XM_004274010.1,XM_002717986.3,XM_003791705.1,XM_004010438.3,XM_003826557.3,XM_003314605.4,XM_003900755.3,XM_002825283.2,XM_012649533.1,XM_011354898.1,NM_001270986.1,XM_010359788.1,XM_016152187.1,XM_003935726.2,XM_012545923.1,XM_004609764.1,XM_013993188.1,xm_004380615.1,XM_006158706.2,XM_004319257.1
GPR179,NM_001004334.3,XM_001081991.3,XM_002916837.2,XM_012451906.1,NM_001191244.1,XM_002748545.3,XM_011000768.1,XM_548160.4,XM_018064966.1,XM_008055711.1,XM_003467067.2,xm_004434600.2,XM_012046364.1,XM_005394606.1,XM_008012945.1,XM_006833661.1,XM_004684986.1,XM_007640332.1,XM_004457840.1,XM_013037081.1,XM_004707428.1,XM_006889469.1,XM_008153776.1,XM_001501693.3,XM_007530953.1,XM_003996811.1,XM_008570976.1,XM_004041831.1,XM_004859861.1,XM_005321956.1,XM_004655499.1,XM_003414676.1,XM_005583504.2,XM_011725389.1,XM_011984700.1,XM_017659315.1,XM_005075912.1,XM_012765964.1,XM_005368396.1,XM_016202206.1,XM_001372028.3,XM_006533024.1,XM_004764702.2,XM_008845330.1,XM_003278204.3,XM_012928650.1,XM_004633868.2,XM_012560570.1,XM_004282698.1,XM_002719329.3,XM_003786440.2,XM_015098746.1,XM_003810438.2,XM_511435.5,XM_003912900.3,XM_002834228.2,XM_012661045.1,XM_011384330.1,XM_008768197.2,XM_010379355.1,XM_016164789.1,XM_003931199.1,XM_003768323.1,XM_004608921.1,XM_013992382.1,xm_004378121.1,XM_006166086.2,XM_004328761.1
GPR18,NM_005292.3,XM_001091731.3,XM_002914864.2,XM_012440956.1,NM_001034689.2,XM_002742512.3,XM_010980243.1,XM_542650.5,XM_005687724.3,XM_008073704.1,XM_003477603.2,xm_004423136.2,XM_012035411.1,XM_005374063.2,XM_007960760.1,XM_006831977.1,XM_012723285.1,XM_007643695.2,XM_004458416.2,XM_013022996.1,XM_004718097.2,XM_006879555.1,XM_008143971.1,XM_005601314.2,XM_007521923.1,,XM_008594752.1,XM_004054681.1,XM_004858624.1,XM_005317019.1,XM_012949844.1,XM_003413961.1,XM_015439310.1,XM_011734617.1,XM_011993797.1,XM_017659137.1,XM_013120116.1,XM_012755887.1,XM_005355693.1,XM_016203835.1,XM_007501347.1,NM_182806.1,XM_004746088.2,XM_008823560.1,XM_003279215.1,XM_012926826.1,XM_004631190.1,XM_004404937.1,XM_004273638.2,XM_008260138.2,XM_003789596.2,XM_004012218.3,XM_003832047.2,XM_016924980.1,XM_017951383.1,XM_002824386.1,XM_012644453.1,XM_011363211.1,NM_001079710.1,XM_010368519.1,XM_016123174.1,XM_003928218.1,XM_012546250.1,XM_004614062.1,xm_003482925.3,xm_004384159.2,XM_006141529.2,XM_004322467.1
GPR182,NM_007264.3,XM_015152073.1,XM_011220744.1,XM_012469692.1,NM_001206417.1,XM_009004048.2,XM_010990992.1,XM_538241.3,XM_018048056.1,XM_008065246.1,XM_005008511.2,xm_014786632.1,XM_012063387.1,XM_005397336.2,XM_008003717.1,XM_006878276.1,XM_004692428.1,XM_007633065.2,XM_004466198.2,XM_013019524.1,XM_004700819.1,XM_006897675.1,XM_008148793.1,XM_014740988.1,XM_016193353.1,XM_003988979.3,XM_008579679.1,XM_004053402.1,XM_004861268.2,XM_005335652.2,XM_004650498.1,XM_010598127.1,XM_005571276.2,XM_011728524.1,XM_011988515.1,XM_017643409.1,XM_005079738.2,XM_012777017.1,XM_005358020.2,XM_016224544.1,XM_007506240.2,NM_007412.2,XM_004773167.2,XM_008844102.2,XM_003252787.3,XM_004583218.1,XM_004647045.1,XM_004417777.2,XM_004276511.1,XM_002720934.3,XM_003790682.2,XM_012174705.2,XM_003824901.2,XM_016923163.1,XM_009181011.2,XM_009247938.1,XM_012653622.1,XM_011375634.1,NM_053302.3,XM_010389007.1,XM_016165819.1,XM_003926453.2,XM_003772360.1,XM_004601941.1,XM_003126290.3,xm_004391314.2,XM_006171912.2,XM_004313728.1
GPR183,NM_004951.4,XM_001091970.3,XM_011219270.1,xm_012440955.1,NM_001046472.2,XM_002742517.4,XM_010980242.1,XM_005634044.2,xm_005687723.3,XM_008073703.1,XM_013141419.1,xm_004423137.2,XM_012035412.1,XM_005374064.2,XM_007960756.1,XM_006832034.1,XM_012723147.1,XM_007624523.2,xm_012525087.1,XM_013022994.1,XM_013005124.1,xm_006879556.1,xm_008143972.1,nm_001309169.1,XM_007521921.2,xm_003980499.2,XM_008594742.1,XM_004054682.1,xm_013077325.1,xm_013360901.1,xm_004663383.1,XM_003413960.2,XM_005586155.2,XM_011734596.1,XM_011993798.1,XM_017659135.1,XM_013120114.1,XM_012755885.1,XM_013349338.1,XM_016203833.1,xm_003341818.3,NM_183031.2,XM_004746090.2,XM_008823562.2,XM_003279216.3,xm_004577378.2,XM_004631191.1,xm_004404939.2,xm_004273639.2,XM_002712943.3,XM_003789597.2,XM_004012219.3,XM_003832048.2,XM_001146657.4,XM_003914032.3,XM_002824388.2,XM_012644451.1,xm_011363212.1,NM_001109386.1,XM_010368521.1,,XM_003928219.2,xm_012546248.1,,XM_013980629.1,xm_004384160.1,XM_006141530.1,XM_004322468.1
GPR19,NM_006143.2,XM_001085321.3,XM_011223372.1,XM_012447605.1,XM_010805495.2,XM_009003303.1,XM_010986235.1,XM_014108491.1,XM_005680817.3,XM_008062516.1,XM_005003811.2,xm_014791334.1,XM_012058532.1,XM_005378970.2,XM_007967703.1,XM_006866050.1,XM_004693267.2,XM_016969963.1,XM_004468270.2,XM_013025038.1,XM_004716215.1,XM_006888416.1,XM_008140423.1,XM_003365173.3,XM_007515770.2,XM_003988427.3,XM_008575508.1,XM_004052749.1,XM_004845861.1,XM_005331907.1,XM_004672331.1,XM_003405656.2,XM_015430395.1,XM_011742151.1,XM_011993636.1,XM_017651274.1,XM_013115443.1,XM_012774433.1,XM_005364497.1,XM_016197457.1,XM_007503710.2,NM_001167699.2,XM_013057906.1,XM_008837523.1,XM_003265670.3,XM_004592573.1,XM_004626075.1,XM_012566142.1,XM_004281136.2,XM_008259612.2,XM_003797799.2,XM_015094925.1,XM_003808848.2,XM_003313500.4,XM_003906019.3,XM_002822951.3,XM_012655788.1,XM_011376019.1,XM_017592662.1,XM_010371007.1,XM_016156415.1,XM_003934527.1,XM_012550759.1,XM_004611307.1,XM_013992371.1,xm_004387324.1,XM_006164791.2,XM_004325392.1
GPR20,NM_005293.2,XM_001082031.3,XM_002921601.2,XM_012461171.1,XM_005194495.3,XM_008983168.2,XM_010987233.1,XM_539182.5,XM_018058642.1,XM_008073165.1,XM_013156253.1,xm_004431038.2,XM_012049971.1,XM_005395722.1,XM_008001652.1,XM_006830729.1,xm_004682774.2,XM_007609499.1,XM_004453489.1,XM_013025140.1,XM_004697636.1,XM_006879260.1,xm_008159310.1,XM_014728103.1,XM_007535310.1,XM_011291550.1,XM_008588031.1,XM_004047577.1,XM_004837881.1,XM_005316122.1,XM_004672036.1,XM_003408310.1,XM_015455261.1,XM_011752395.1,XM_011990153.1,XM_017647474.1,XM_005085447.1,XM_012751738.1,XM_005354516.1,XM_016207792.1,XM_007488394.1,NM_173365.2,XM_013051806.1,XM_008851082.1,XM_003276727.3,XM_004580849.1,XM_004638924.1,XM_004405574.2,XM_004265292.2,XM_008252698.2,XM_003792847.2,XM_015097648.1,XM_003819490.3,XM_016959946.1,XM_003903204.3,XM_002819484.3,XM_012648016.1,XM_011380626.1,XM_006241737.3,XM_010385460.1,XM_016139169.1,XM_003942079.2,XM_003760420.2,XM_004618676.1,XM_013996445.1,xm_004387366.1,XM_006152147.1,xm_004326325.1
GPR21,NM_005294.2,XM_001084750.3,XM_002919995.2,XM_012458177.1,NM_001098047.1,XM_009002706.2,XM_010984360.1,XM_014117082.1,XM_005687119.3,XM_008051954.1,XM_005004036.2,xm_004423429.1,XM_012039247.1,XM_005382506.2,XM_008006336.1,XM_006834740.1,XM_004677359.1,XM_003504473.3,XM_004463429.1,XM_013021426.1,XM_004716470.1,XM_006892597.1,XM_008155268.1,XM_001502279.5,XM_016185020.1,XM_003995856.3,XM_008583664.1,XM_004048581.1,XM_013073658.1,XM_005320939.1,XM_004662783.1,XM_010587639.1,XM_005580823.2,XM_011711286.1,XM_011965495.1,XM_017675989.1,XM_005139295.2,XM_012771847.1,XM_005345941.2,XM_016210950.1,XM_007474619.2,NM_177383.4,XM_004757355.2,XM_008824410.2,XM_003264107.2,XM_004593589.1,XM_004641598.1,XM_004392612.2,XM_004269246.1,XM_017350043.1,XM_003785287.1,XM_004005652.2,XM_008958650.1,XM_003312270.4,XM_003911256.3,XM_002820187.3,XM_012664426.1,XM_011364319.1,NM_001109554.1,XM_010382464.1,XM_016137454.1,XM_003940650.2,XM_012553684.1,XM_012933770.1,XM_003353653.3,xm_004375645.1,XM_006158212.2,XM_004312911.1
GPR22,NM_005295.2,NM_001261006.1,XM_011233226.1,XM_012456026.1,XM_005205443.3,XM_002751736.3,XM_010984839.1,XM_843786.4,XM_005679132.3,XM_008052498.1,XM_003469795.3,xm_004439290.2,XM_012054585.1,XM_013510540.1,XM_007982533.1,XM_006859269.1,XM_012720931.1,XM_007627548.2,XM_012525396.1,XM_013034738.1,XM_004702594.1,XM_006882626.1,XM_008150042.1,XM_014738918.1,XM_007528310.1,XM_003982652.3,XM_008567374.1,XM_004046033.1,XM_004839665.1,XM_013356034.1,XM_004652875.2,XM_003407204.2,XM_005550482.2,XM_011730436.1,XM_011986379.1,XM_017659572.1,XM_005076234.2,XM_012746252.1,XM_005343873.2,XM_016204771.1,XM_016426097.1,NM_175191.4,XM_004739534.2,XM_008830725.1,XM_003282282.3,XM_004598592.2,XM_004634984.2,XM_004411915.2,XM_004263354.1,XM_002712038.3,XM_003782591.2,XM_015095263.1,XM_003811204.1,XM_009453960.2,XM_003896462.3,XM_002818339.3,XM_012650347.1,XM_011372494.1,XM_017594079.1,XM_010382420.1,XM_016145855.1,XM_003921103.1,XM_003771496.1,XM_004602108.2,XM_005667734.2,xm_004382599.1,XM_006161157.2,XM_004317683.1
GPR25,NM_005298.3,XM_001109302.3,xm_002931375.2,XM_012459555.1,XM_015466947.1,XM_002760680.3,xm_010995154.1,XM_014115047.1,XM_018060835.1,xm_008056554.1,XM_013157858.1,xm_014794107.1,XM_012036794.1,XM_013522068.1,XM_007989013.1,XM_006834158.1,XM_004685250.2,XM_007635794.2,XM_004478694.1,xm_013024804.1,XM_013003923.1,XM_006892112.1,xm_008150093.1,xm_001499653.3,xm_007519349.2,XM_011291038.1,xm_008594844.1,xm_004028117.1,XM_004862263.1,XM_005330377.1,xm_004650588.1,XM_010590400.1,XM_005540351.2,XM_011746547.1,XM_011990579.1,,XM_013115850.1,XM_012744394.1,XM_005348495.1,xm_016208013.1,xm_007490567.1,NM_001101516.1,XM_004756249.2,XM_008830273.2,XM_004092999.2,XM_004578961.1,XM_004625325.1,XM_004392853.2,XM_004285419.2,XM_008268674.2,XM_003792295.2,xm_004008441.3,XM_003823096.2,XM_016935344.1,XM_003919518.3,XM_002809640.2,XM_012650474.1,xm_011366865.1,XM_008769579.2,XM_010362672.1,XM_016150543.1,XM_010348993.1,xm_012550638.1,XM_004610145.1,nm_001038229.1,xm_004375312.2,XM_006155462.1,xm_004330484.1
GPR27,NM_018971.2,XM_002803084.2,,,XM_003587626.1,XM_002758550.4,XM_010987397.1,,XM_013973698.2,xm_008051855.1,XM_005005285.2,xm_014779769.1,XM_012059852.1,XM_013513673.1,XM_007984982.1,XM_006874628.1,XM_004676551.2,xm_007631517.1,xm_012521940.1,,,XM_006900494.1,XM_008154163.1,xm_014728929.1,xm_007530853.2,,XM_008571816.1,,XM_004854205.2,XM_005333891.2,XM_004651375.1,XM_010590052.1,,XM_011737594.1,,,XM_005071205.2,XM_012787406.1,XM_005364941.2,xm_016219660.1,XM_001372985.2,NM_008158.1,,XM_008831594.2,XM_012502137.1,XM_004581624.1,XM_004629544.1,XM_004404571.1,XM_004268018.2,,XM_012802479.1,,XM_008963954.1,XM_016940112.1,,XM_002813524.3,XM_012652646.1,xm_011383456.1,NM_023099.1,XM_010385983.1,XM_016141484.1,,XM_003762369.1,,,xm_004372767.1,,XM_004332413.1
