RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_000564,3568,interleukin 5 receptor subunit alpha,"The protein encoded by this gene is an interleukin 5 specific subunit of a heterodimeric cytokine receptor. The receptor is comprised of a ligand specific alpha subunit and a signal transducing beta subunit shared by the receptors for interleukin 3 (IL3), colony stimulating factor 2 (CSF2/GM-CSF), and interleukin 5 (IL5). The binding of this protein to IL5 depends on the beta subunit. The beta subunit is activated by the ligand binding, and is required for the biological activities of IL5. This protein has been found to interact with syndecan binding protein (syntenin), which is required for IL5 mediated activation of the transcription factor SOX4. Several alternatively spliced transcript variants encoding four distinct isoforms have been reported.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3568"">https://www.ncbi.nlm.nih.gov/gene/3568</a>"
NM_006084,10379,interferon regulatory factor 9,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/10379"">https://www.ncbi.nlm.nih.gov/gene/10379</a>"
NM_001171581,9452,integral membrane protein 2A,This gene encodes a type II membrane protein that belongs to the ITM2 family. Studies in mouse suggest that it may be involved in osteo- and chondrogenic differentiation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/9452"">https://www.ncbi.nlm.nih.gov/gene/9452</a>"
NM_002221,3707,inositol-trisphosphate 3-kinase B,"The protein encoded by this protein regulates inositol phosphate metabolism by phosphorylation of second messenger inositol 1,4,5-trisphosphate to Ins(1,3,4,5)P4. The activity of this encoded protein is responsible for regulating the levels of a large number of inositol polyphosphates that are important in cellular signaling. Both calcium/calmodulin and protein phosphorylation mechanisms control its activity.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3707"">https://www.ncbi.nlm.nih.gov/gene/3707</a>"
NM_002228,3725,"Jun proto-oncogene, AP-1 transcription factor subunit","This gene is the putative transforming gene of avian sarcoma virus 17. It encodes a protein which is highly similar to the viral protein, and which interacts directly with specific target DNA sequences to regulate gene expression. This gene is intronless and is mapped to 1p32-p31, a chromosomal region involved in both translocations and deletions in human malignancies.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3725"">https://www.ncbi.nlm.nih.gov/gene/3725</a>"
NM_002229,3726,"JunB proto-oncogene, AP-1 transcription factor subunit",,"<a href=""https://www.ncbi.nlm.nih.gov/gene/3726"">https://www.ncbi.nlm.nih.gov/gene/3726</a>"
NM_001024660,8997,kalirin RhoGEF kinase,"Huntington's disease (HD), a neurodegenerative disorder characterized by loss of striatal neurons, is caused by an expansion of a polyglutamine tract in the HD protein huntingtin. This gene encodes a protein that interacts with the huntingtin-associated protein 1, which is a huntingtin binding protein that may function in vesicle trafficking.","<a href=""https://www.ncbi.nlm.nih.gov/gene/8997"">https://www.ncbi.nlm.nih.gov/gene/8997</a>"
NM_012281,3751,potassium voltage-gated channel subfamily D member 2,"Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shal-related subfamily, members of which form voltage-activated A-type potassium ion channels and are prominent in the repolarization phase of the action potential. This member mediates a rapidly inactivating, A-type outward potassium current which is not under the control of the N terminus as it is in Shaker channels.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3751"">https://www.ncbi.nlm.nih.gov/gene/3751</a>"
NM_002241,3766,potassium voltage-gated channel subfamily J member 10,"This gene encodes a member of the inward rectifier-type potassium channel family, characterized by having a greater tendency to allow potassium to flow into, rather than out of, a cell. The encoded protein may form a heterodimer with another potassium channel protein and may be responsible for the potassium buffering action of glial cells in the brain. Mutations in this gene have been associated with seizure susceptibility of common idiopathic generalized epilepsy syndromes.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3766"">https://www.ncbi.nlm.nih.gov/gene/3766</a>"
NM_001014797,3778,potassium calcium-activated channel subfamily M alpha 1,"MaxiK channels are large conductance, voltage and calcium-sensitive potassium channels which are fundamental to the control of smooth muscle tone and neuronal excitability. MaxiK channels can be formed by 2 subunits: the pore-forming alpha subunit, which is the product of this gene, and the modulatory beta subunit. Intracellular calcium regulates the physical association between the alpha and beta subunits. Alternatively spliced transcript variants encoding different isoforms have been identified.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3778"">https://www.ncbi.nlm.nih.gov/gene/3778</a>"
NM_001032282,7071,Kruppel like factor 10,"This gene encodes a member of a family of proteins that feature C2H2-type zinc finger domains. The encoded protein is a transcriptional repressor that acts as an effector of transforming growth factor beta signaling. Activity of this protein may inhibit the growth of cancers, particularly pancreatic cancer. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/7071"">https://www.ncbi.nlm.nih.gov/gene/7071</a>"
NM_014079,28999,Kruppel like factor 15,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/28999"">https://www.ncbi.nlm.nih.gov/gene/28999</a>"
NM_001206,687,Kruppel like factor 9,The protein encoded by this gene is a transcription factor that binds to GC box elements located in the promoter. Binding of the encoded protein to a single GC box inhibits mRNA expression while binding to tandemly repeated GC box elements activates transcription.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/687"">https://www.ncbi.nlm.nih.gov/gene/687</a>"
NM_005561,3916,lysosomal associated membrane protein 1,The protein encoded by this gene is a member of a family of membrane glycoproteins.  This glycoprotein provides selectins with carbohydrate ligands.  It may also play a role in tumor cell metastasis.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/3916"">https://www.ncbi.nlm.nih.gov/gene/3916</a>"
NM_052925,114823,leukocyte receptor cluster member 8,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/114823"">https://www.ncbi.nlm.nih.gov/gene/114823</a>"
NM_001193482,3987,LIM zinc finger domain containing 1,"The protein encoded by this gene is an adaptor protein which contains five LIM domains, or double zinc fingers. The protein is likely involved in integrin signaling through its LIM domain-mediated interaction with integrin-linked kinase, found in focal adhesion plaques. It is also thought to act as a bridge linking integrin-linked kinase to NCK adaptor protein 2, which is involved in growth factor receptor kinase signaling pathways. Its localization to the periphery of spreading cells also suggests that this protein may play a role in integrin-mediated cell adhesion or spreading. Several transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3987"">https://www.ncbi.nlm.nih.gov/gene/3987</a>"
NM_001001395,55885,LIM domain only 3,"The protein encoded by this gene belongs to the rhombotin family of cysteine-rich LIM domain oncogenes. This gene is predominantly expressed in the brain. Related family members, LMO1 and LMO2 on chromosome 11, have been reported to be involved in chromosomal translocations in T-cell leukemia. Many alternatively spliced transcript variants have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/55885"">https://www.ncbi.nlm.nih.gov/gene/55885</a>"
NM_001289934,4034,leucine rich repeats and calponin homology domain containing 4,This gene encodes a protein that contains leucine-rich repeats (LRR) at its amino terminus and that is known to be involved in ligand binding. The carboxyl terminus may act as a membrane anchor. Identified structural elements suggest that the encoded protein resembles a receptor.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4034"">https://www.ncbi.nlm.nih.gov/gene/4034</a>"
NM_001199149,4057,lactotransferrin,"This gene is a member of the transferrin family of genes and its protein product is found in the secondary granules of neutrophils. The protein is a major iron-binding protein in milk and body secretions with an antimicrobial activity, making it an important component of the non-specific immune system. The protein demonstrates a broad spectrum of properties, including regulation of iron homeostasis, host defense against a broad range of microbial infections, anti-inflammatory activity, regulation of cellular growth and differentiation and protection against cancer development and metastasis. Antimicrobial, antiviral, antifungal and antiparasitic activity has been found for this protein and its peptides. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4057"">https://www.ncbi.nlm.nih.gov/gene/4057</a>"
NM_000239,4069,lysozyme,"This gene encodes human lysozyme, whose natural substrate is the bacterial cell wall peptidoglycan (cleaving the beta[1-4]glycosidic linkages between N-acetylmuramic acid and N-acetylglucosamine). Lysozyme is one of the antimicrobial agents found in human milk, and is also present in spleen, lung, kidney, white blood cells, plasma, saliva, and tears. The protein has antibacterial activity against a number of bacterial species. Missense mutations in this gene have been identified in heritable renal amyloidosis.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4069"">https://www.ncbi.nlm.nih.gov/gene/4069</a>"
NM_001199216,4099,myelin associated glycoprotein,The protein encoded by this gene is a type I membrane protein and member of the immunoglobulin superfamily. It is thought to be involved in the process of myelination. It is a lectin that binds to sialylated glycoconjugates and mediates certain myelin-neuron cell-cell interactions. Three alternatively spliced transcripts encoding different isoforms have been described for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4099"">https://www.ncbi.nlm.nih.gov/gene/4099</a>"
NM_002371,4118,"mal, T-cell differentiation protein","The protein encoded by this gene is a highly hydrophobic integral membrane protein belonging to the MAL family of proteolipids. The protein has been localized to the endoplasmic reticulum of T-cells and is a candidate linker protein in T-cell signal transduction. In addition, this proteolipid is localized in compact myelin of cells in the nervous system and has been implicated in myelin biogenesis and/or function. The protein plays a role in the formation, stabilization and maintenance of glycosphingolipid-enriched membrane microdomains. Down-regulation of this gene has been associated with a variety of human epithelial malignancies. Alternative splicing produces four transcript variants which vary from each other by the presence or absence of alternatively spliced exons 2 and 3.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4118"">https://www.ncbi.nlm.nih.gov/gene/4118</a>"
NM_000898,4129,monoamine oxidase B,The protein encoded by this gene belongs to the flavin monoamine oxidase family. It is a enzyme located in the mitochondrial outer membrane. It catalyzes the oxidative deamination of biogenic and xenobiotic amines and plays an important role in the metabolism of neuroactive and vasoactive amines in the central nervous sysytem and peripheral tissues. This protein preferentially degrades benzylamine and phenylethylamine.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4129"">https://www.ncbi.nlm.nih.gov/gene/4129</a>"
NM_001324255,4131,microtubule associated protein 1B,"This gene encodes a protein that belongs to the microtubule-associated protein family. The proteins of this family are thought to be involved in microtubule assembly, which is an essential step in neurogenesis. The product of this gene is a precursor polypeptide that presumably undergoes proteolytic processing to generate the final MAP1B heavy chain and LC1 light chain. Gene knockout studies of the mouse microtubule-associated protein 1B gene suggested an important role in development and function of the nervous system.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4131"">https://www.ncbi.nlm.nih.gov/gene/4131</a>"
NM_002755,5604,mitogen-activated protein kinase kinase 1,"The protein encoded by this gene is a member of the dual specificity protein kinase family, which acts as a mitogen-activated protein (MAP) kinase kinase. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals. This protein kinase lies upstream of MAP kinases and stimulates the enzymatic activity of MAP kinases upon wide variety of extra- and intracellular signals. As an essential component of MAP kinase signal transduction pathway, this kinase is involved in many cellular processes such as proliferation, differentiation, transcription regulation and development.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5604"">https://www.ncbi.nlm.nih.gov/gene/5604</a>"
NM_002745,5594,mitogen-activated protein kinase 1,"This gene encodes a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. The activation of this kinase requires its phosphorylation by upstream kinases. Upon activation, this kinase translocates to the nucleus of the stimulated cells, where it phosphorylates nuclear targets. One study also suggests that this protein acts as a transcriptional repressor independent of its kinase activity. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Two alternatively spliced transcript variants encoding the same protein, but differing in the UTRs, have been reported for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5594"">https://www.ncbi.nlm.nih.gov/gene/5594</a>"
NM_001318067,5602,mitogen-activated protein kinase 10,"The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as integration points for multiple biochemical signals and are involved in a wide variety of cellular processes, such as proliferation, differentiation, transcription regulation and development. This kinase is specifically expressed in a subset of neurons in the nervous system and is activated by threonine and tyrosine phosphorylation. Targeted deletion of this gene in mice suggests that it may have a role in stress-induced neuronal apoptosis. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. A recent study provided evidence for translational readthrough in this gene and expression of an additional C-terminally extended isoform via the use of an alternative in-frame translation termination codon.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5602"">https://www.ncbi.nlm.nih.gov/gene/5602</a>"
NM_001040056,5595,mitogen-activated protein kinase 3,"The protein encoded by this gene is a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act in a signaling cascade that regulates various cellular processes such as proliferation, differentiation, and cell cycle progression in response to a variety of extracellular signals. This kinase is activated by upstream kinases, resulting in its translocation to the nucleus where it phosphorylates nuclear targets. Alternatively spliced transcript variants encoding different protein isoforms have been described.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5595"">https://www.ncbi.nlm.nih.gov/gene/5595</a>"
NM_001135044,5601,mitogen-activated protein kinase 9,"The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. This kinase targets specific transcription factors, and thus mediates immediate-early gene expression in response to various cell stimuli. It is most closely related to MAPK8, both of which are involved in UV radiation induced apoptosis, thought to be related to the cytochrome c-mediated cell death pathway. This gene and MAPK8 are also known as c-Jun N-terminal kinases. This kinase blocks the ubiquitination of tumor suppressor p53, and thus it increases the stability of p53 in nonstressed cells. Studies of this gene's mouse counterpart suggest a key role in T-cell differentiation. Several alternatively spliced transcript variants encoding distinct isoforms have been reported.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5601"">https://www.ncbi.nlm.nih.gov/gene/5601</a>"
NM_001303050,22924,microtubule associated protein RP/EB family member 3,"The protein encoded by this gene is a member of the RP/EB family of genes.  The protein localizes to the cytoplasmic microtubule network and binds APCL, a homolog of the adenomatous polyposis coli tumor suppressor gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/22924"">https://www.ncbi.nlm.nih.gov/gene/22924</a>"
NM_001123066,4137,microtubule associated protein tau,"This gene encodes the microtubule-associated protein tau (MAPT) whose transcript undergoes complex, regulated alternative splicing, giving rise to several mRNA species. MAPT transcripts are differentially expressed in the nervous system, depending on stage of neuronal maturation and neuron type. MAPT gene mutations have been associated with several neurodegenerative disorders such as Alzheimer's disease, Pick's disease, frontotemporal dementia, cortico-basal degeneration and progressive supranuclear palsy.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4137"">https://www.ncbi.nlm.nih.gov/gene/4137</a>"
NM_001025081,4155,myelin basic protein,"The protein encoded by the classic MBP gene is a major constituent of the myelin sheath of oligodendrocytes and Schwann cells in the nervous system. However, MBP-related transcripts are also present in the bone marrow and the immune system. These mRNAs arise from the long MBP gene (otherwise called 'Golli-MBP') that contains 3 additional exons located upstream of the classic MBP exons. Alternative splicing from the Golli and the MBP transcription start sites gives rise to 2 sets of MBP-related transcripts and gene products. The Golli mRNAs contain 3 exons unique to Golli-MBP, spliced in-frame to 1 or more MBP exons. They encode hybrid proteins that have N-terminal Golli aa sequence linked to MBP aa sequence. The second family of transcripts contain only MBP exons and produce the well characterized myelin basic proteins. This complex gene structure is conserved among species suggesting that the MBP transcription unit is an integral part of the Golli transcription unit and that this arrangement is important for the function and/or regulation of these genes.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4155"">https://www.ncbi.nlm.nih.gov/gene/4155</a>"
NM_001282403,4191,malate dehydrogenase 2,"Malate dehydrogenase catalyzes the reversible oxidation of malate to oxaloacetate, utilizing the NAD/NADH cofactor system in the citric acid cycle. The protein encoded by this gene is localized to the mitochondria and may play pivotal roles in the malate-aspartate shuttle that operates in the metabolic coordination between cytosol and mitochondria. Several transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4191"">https://www.ncbi.nlm.nih.gov/gene/4191</a>"
NM_001131005,4208,myocyte enhancer factor 2C,"This locus encodes a member of the MADS box transcription enhancer factor 2 (MEF2) family of proteins, which play a role in myogenesis. The encoded protein, MEF2 polypeptide C, has both trans-activating and DNA binding activities. This protein may play a role in maintaining the differentiated state of muscle cells. Mutations and deletions at this locus have been associated with severe mental retardation, stereotypic movements, epilepsy, and cerebral malformation. Alternatively spliced transcript variants have been described.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4208"">https://www.ncbi.nlm.nih.gov/gene/4208</a>"
NM_001135911,113791,phosphoinositide-3-kinase interacting protein 1,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/113791"">https://www.ncbi.nlm.nih.gov/gene/113791</a>"
NM_001278322,4336,myelin-associated oligodendrocyte basic protein,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4336"">https://www.ncbi.nlm.nih.gov/gene/4336</a>"
NM_001008228,4340,myelin oligodendrocyte glycoprotein,"The product of this gene is a membrane protein expressed on the oligodendrocyte cell surface and the outermost surface of myelin sheaths. Due to this localization, it is a primary target antigen involved in immune-mediated demyelination. This protein may be involved in completion and maintenance of the myelin sheath and in cell-cell communication. Alternatively spliced transcript variants encoding different isoforms have been identified.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4340"">https://www.ncbi.nlm.nih.gov/gene/4340</a>"
NM_001261406,8777,multiple PDZ domain crumbs cell polarity complex component,"The protein encoded by this gene has multiple PDZ domains, which are hallmarks of protein-protein interactions. The encoded protein is known to interact with the HTR2C receptor and may cause it to clump at the cell surface. Multiple transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/8777"">https://www.ncbi.nlm.nih.gov/gene/8777</a>"
NM_000250,4353,myeloperoxidase,"Myeloperoxidase (MPO) is a heme protein synthesized during myeloid differentiation that constitutes the major component of neutrophil azurophilic granules. Produced as a single chain precursor, myeloperoxidase is subsequently cleaved into a light and heavy chain. The mature myeloperoxidase is a tetramer composed of 2 light chains and 2 heavy chains. This enzyme produces hypohalous acids central to the microbicidal activity of neutrophils.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4353"">https://www.ncbi.nlm.nih.gov/gene/4353</a>"
NM_000530,4359,myelin protein zero,"This gene is specifically expressed in Schwann cells of the peripheral nervous system and encodes a type I transmembrane glycoprotein that is a major structural protein of the peripheral myelin sheath. The encoded protein contains a large hydrophobic extracellular domain and a smaller basic intracellular domain, which are essential for the formation and stabilization of the multilamellar structure of the compact myelin. Mutations in this gene are associated with autosomal dominant form of Charcot-Marie-Tooth disease type 1 (CMT1B) and other polyneuropathies, such as Dejerine-Sottas syndrome (DSS) and congenital hypomyelinating neuropathy (CHN). A recent study showed that two isoforms are produced from the same mRNA by use of alternative in-frame translation termination codons via a stop codon readthrough mechanism.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4359"">https://www.ncbi.nlm.nih.gov/gene/4359</a>"
NM_020998,4485,macrophage stimulating 1,"The protein encoded by this gene contains four kringle domains and a serine protease domain, similar to that found in hepatic growth factor. Despite the presence of the serine protease domain, the encoded protein may not have any proteolytic activity. The receptor for this protein is RON tyrosine kinase, which upon activation stimulates ciliary motility of ciliated epithelial lung cells. This protein is secreted and cleaved to form an alpha chain and a beta chain bridged by disulfide bonds.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4485"">https://www.ncbi.nlm.nih.gov/gene/4485</a>"
NM_005952,4501,metallothionein 1X,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4501"">https://www.ncbi.nlm.nih.gov/gene/4501</a>"
NM_005953,4502,metallothionein 2A,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4502"">https://www.ncbi.nlm.nih.gov/gene/4502</a>"
NM_003827,8775,NSF attachment protein alpha,"This gene encodes a member of the soluble NSF attachment protein (SNAP) family. SNAP proteins play a critical role in the docking and fusion of vesicles to target membranes as part of the 20S NSF-SNAP-SNARE complex. The encoded protein plays a role in the completion of membrane fusion by mediating the interaction of N-ethylmaleimide-sensitive factor (NSF) with the vesicle-associated and membrane-associated SNAP receptor (SNARE) complex, and stimulating the ATPase activity of NSF. Alternatively spliced transcript variants have been observed for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/8775"">https://www.ncbi.nlm.nih.gov/gene/8775</a>"
NM_001199981,4719,NADH:ubiquinone oxidoreductase core subunit S1,The protein encoded by this gene belongs to the complex I 75 kDa subunit family. Mammalian complex I is composed of 45 different subunits. It locates at the mitochondrial inner membrane. This protein has NADH dehydrogenase activity and oxidoreductase activity. It transfers electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. This protein is the largest subunit of complex I and it is a component of the iron-sulfur (IP) fragment of the enzyme. It may form part of the active site crevice where NADH is oxidized. Mutations in this gene are associated with complex I deficiency. Several transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4719"">https://www.ncbi.nlm.nih.gov/gene/4719</a>"
NM_021074,4729,NADH:ubiquinone oxidoreductase core subunit V2,"The NADH-ubiquinone oxidoreductase complex (complex I) of the mitochondrial respiratory chain catalyzes the transfer of electrons from NADH to ubiquinone, and consists of at least 43 subunits. The complex is located in the inner mitochondrial membrane. This gene encodes the 24 kDa subunit of complex I, and is involved in electron transfer. Mutations in this gene are implicated in Parkinson's disease, bipolar disorder, schizophrenia, and have been found in one case of early onset hypertrophic cardiomyopathy and encephalopathy. A non-transcribed pseudogene of this locus is found on chromosome 19.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4729"">https://www.ncbi.nlm.nih.gov/gene/4729</a>"
NM_001105541,4741,neurofilament medium,"Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and functionally maintain neuronal caliber. They may also play a role in intracellular transport to axons and dendrites. This gene encodes the medium neurofilament protein. This protein is commonly used as a biomarker of neuronal damage. Alternative splicing results in multiple transcript variants encoding distinct isoforms.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4741"">https://www.ncbi.nlm.nih.gov/gene/4741</a>"
NM_021076,4744,neurofilament heavy,"Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and functionally maintain neuronal caliber. They may also play a role in intracellular transport to axons and dendrites. This gene encodes the heavy neurofilament protein. This protein is commonly used as a biomarker of neuronal damage and susceptibility to amyotrophic lateral sclerosis (ALS) has been associated with mutations in this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4744"">https://www.ncbi.nlm.nih.gov/gene/4744</a>"
NM_006158,4747,neurofilament light,"Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and they functionally maintain the neuronal caliber. They may also play a role in intracellular transport to axons and dendrites. This gene encodes the light chain neurofilament protein. Mutations in this gene cause Charcot-Marie-Tooth disease types 1F (CMT1F) and 2E (CMT2E), disorders of the peripheral nervous system that are characterized by distinct neuropathies. A pseudogene has been identified on chromosome Y.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4747"">https://www.ncbi.nlm.nih.gov/gene/4747</a>"
NM_001145107,4753,neural EGFL like 2,"The protein encoded by this gene is a glycoprotein containing several von Willebrand factor C domains and epidermal growth factor (EGF)-like domains. The encoded protein acts as a homotrimer and is found in the cytoplasm. Several variants encoding a few different isoforms exist, and at least one isoform appears to be a secreted protein. Studies in mouse suggest that this protein plays a role in neural cell growth and differentiation as well as in oncogenesis.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4753"">https://www.ncbi.nlm.nih.gov/gene/4753</a>"
NM_001047160,10276,neuroepithelial cell transforming 1,"This gene is part of the family of Rho guanine nucleotide exchange factors. Members of this family activate Rho proteins by catalyzing the exchange of GDP for GTP. The protein encoded by this gene interacts with RhoA within the cell nucleus and may play a role in repairing DNA damage after ionizing radiation. Pseudogenes of this gene are located on the long arms of chromosomes 1, 7 and 18. Alternative splicing results in multiple transcript variants that encode different protein isoforms.","<a href=""https://www.ncbi.nlm.nih.gov/gene/10276"">https://www.ncbi.nlm.nih.gov/gene/10276</a>"
NM_000267,4763,neurofibromin 1,"This gene product appears to function as a negative regulator of the ras signal transduction pathway. Mutations in this gene have been linked to neurofibromatosis type 1, juvenile myelomonocytic leukemia and Watson syndrome. The mRNA for this gene is subject to RNA editing (CGA>UGA->Arg1306Term) resulting in premature translation termination. Alternatively spliced transcript variants encoding different isoforms have also been described for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4763"">https://www.ncbi.nlm.nih.gov/gene/4763</a>"
NM_001134673,4774,nuclear factor I A,This gene encodes a member of the NF1 (nuclear factor 1) family of transcription factors. Multiple transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4774"">https://www.ncbi.nlm.nih.gov/gene/4774</a>"
NM_001190737,4781,nuclear factor I B,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4781"">https://www.ncbi.nlm.nih.gov/gene/4781</a>"
NM_020529,4792,NFKB inhibitor alpha,"This gene encodes a member of the NF-kappa-B inhibitor family, which contain multiple ankrin repeat domains. The encoded protein interacts with REL dimers to inhibit NF-kappa-B/REL complexes which are involved in inflammatory responses. The encoded protein moves between the cytoplasm and the nucleus via a nuclear localization signal and CRM1-mediated nuclear export. Mutations in this gene have been found in ectodermal dysplasia anhidrotic with T-cell immunodeficiency autosomal dominant disease.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4792"">https://www.ncbi.nlm.nih.gov/gene/4792</a>"
NM_002509,4821,NK2 homeobox 2,"The protein encoded by this gene contains a homeobox domain and may be involved in the morphogenesis of the central nervous system. This gene is found on chromosome 20 near NKX2-4, and these two genes appear to be duplicated on chromosome 14 in the form of TITF1 and NKX2-8. The encoded protein is likely to be a nuclear transcription factor.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4821"">https://www.ncbi.nlm.nih.gov/gene/4821</a>"
NM_005450,9241,noggin,"The secreted polypeptide, encoded by this gene, binds and inactivates members of the transforming growth factor-beta (TGF-beta) superfamily signaling proteins, such as bone morphogenetic protein-4 (BMP4). By diffusing through extracellular matrices more efficiently than members of the TGF-beta superfamily, this protein may have a principal role in creating morphogenic gradients. The protein appears to have pleiotropic effect, both early in development as well as in later stages. It was originally isolated from Xenopus based on its ability to restore normal dorsal-ventral body axis in embryos that had been artificially ventralized by UV treatment. The results of the mouse knockout of the ortholog suggest that it is involved in numerous developmental processes, such as neural tube fusion and joint formation. Recently, several dominant human NOG mutations in unrelated families with proximal symphalangism (SYM1) and multiple synostoses syndrome (SYNS1) were identified; both SYM1 and SYNS1 have multiple joint fusion as their principal feature, and map to the same region (17q22) as this gene. All of these mutations altered evolutionarily conserved amino acid residues. The amino acid sequence of this human gene is highly homologous to that of Xenopus, rat and mouse.","<a href=""https://www.ncbi.nlm.nih.gov/gene/9241"">https://www.ncbi.nlm.nih.gov/gene/9241</a>"
NM_002522,4884,neuronal pentraxin 1,NPTX1 is a member of the neuronal pentraxin gene family. Neuronal pentraxin 1 is similar to the rat NP1 gene which encodes a binding protein for the snake venom toxin taipoxin. Human NPTX1 mRNA is exclusively localized to the nervous system.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/4884"">https://www.ncbi.nlm.nih.gov/gene/4884</a>"
NM_014293,23467,neuronal pentraxin receptor,"This gene encodes a protein similar to the rat neuronal pentraxin receptor. The rat pentraxin receptor is an integral membrane protein that is thought to mediate neuronal uptake of the snake venom toxin, taipoxin, and its transport into the synapses. Studies in rat indicate that translation of this mRNA initiates at a non-AUG (CUG) codon. This may also be true for mouse and human, based on strong sequence conservation amongst these species.","<a href=""https://www.ncbi.nlm.nih.gov/gene/23467"">https://www.ncbi.nlm.nih.gov/gene/23467</a>"
